Pa?s de nacionalidad;Mes;Total
Polonia;Noviembre;13
Polonia;Diciembre;19
Polonia;Total;153
Portugal;Enero;57
Portugal;Febrero;40
Portugal;Marzo;29
Portugal;Abril;35
Portugal;Mayo;26
Portugal;Junio;30
Portugal;Julio;35
Portugal;Agosto;44
Portugal;Septiembre;31
Portugal;Octubre;27
Portugal;Noviembre;42
Portugal;Diciembre;34
Portugal;Total;430
Reino Unido;Enero;370
Reino Unido;Febrero;268
Reino Unido;Marzo;282
Reino Unido;Abril;234
Reino Unido;Mayo;249
Reino Unido;Junio;256
Reino Unido;Julio;310
Reino Unido;Agosto;295
Reino Unido;Septiembre;273
Reino Unido;Octubre;323
Reino Unido;Noviembre;305
Reino Unido;Diciembre;349
Reino Unido;Total;3.514
Ruman?a;Enero;114
Ruman?a;Febrero;88
Ruman?a;Marzo;79
Ruman?a;Abril;101
Ruman?a;Mayo;81
Ruman?a;Junio;93
Ruman?a;Julio;85
Ruman?a;Agosto;122
Ruman?a;Septiembre;97
Ruman?a;Octubre;94
Ruman?a;Noviembre;98
Ruman?a;Diciembre;113
Ruman?a;Total;1.165
Rusia;Enero;21
Rusia;Febrero;14
Rusia;Marzo;15
Rusia;Abril;15
Rusia;Mayo;11
Rusia;Junio;15
Rusia;Julio;28
Rusia;Agosto;20
Rusia;Septiembre;24
Rusia;Octubre;17
Rusia;Noviembre;9
Rusia;Diciembre;18
Rusia;Total;207
Suecia;Enero;17
Suecia;Febrero;13
Suecia;Marzo;7
Suecia;Abril;15
Suecia;Mayo;16
Suecia;Junio;8
Suecia;Julio;12
Suecia;Agosto;9
Suecia;Septiembre;17
Suecia;Octubre;10
Suecia;Noviembre;15
Suecia;Diciembre;16
Suecia;Total;155
Suiza;Enero;27
Suiza;Febrero;23
Suiza;Marzo;21
Suiza;Abril;18
Suiza;Mayo;26
Suiza;Junio;30
Suiza;Julio;35
Suiza;Agosto;26
Suiza;Septiembre;25
Suiza;Octubre;16
Suiza;Noviembre;20
Suiza;Diciembre;25
Suiza;Total;292
Ucrania;Enero;20
Ucrania;Febrero;18
Ucrania;Marzo;29
Ucrania;Abril;19
Ucrania;Mayo;23
Ucrania;Junio;22
Ucrania;Julio;12
Ucrania;Agosto;24
Ucrania;Septiembre;21
Ucrania;Octubre;25
Ucrania;Noviembre;26
Ucrania;Diciembre;20
Ucrania;Total;259
Resto de Europa;Enero;30
Resto de Europa;Febrero;16
Resto de Europa;Marzo;29
Resto de Europa;Abril;24
Resto de Europa;Mayo;30
Resto de Europa;Junio;32
Resto de Europa;Julio;36
Resto de Europa;Agosto;34
Resto de Europa;Septiembre;25
Resto de Europa;Octubre;24
Resto de Europa;Noviembre;39
Resto de Europa;Diciembre;38
Resto de Europa;Total;357
PA?SES DE ?FRICA;Enero;179
PA?SES DE ?FRICA;Febrero;116
PA?SES DE ?FRICA;Marzo;175
PA?SES DE ?FRICA;Abril;143
PA?SES DE ?FRICA;Mayo;149
PA?SES DE ?FRICA;Junio;156
PA?SES DE ?FRICA;Julio;163
PA?SES DE ?FRICA;Agosto;163
PA?SES DE ?FRICA;Septiembre;149
PA?SES DE ?FRICA;Octubre;139
PA?SES DE ?FRICA;Noviembre;157
PA?SES DE ?FRICA;Diciembre;176
PA?SES DE ?FRICA;Total;1.865
Argelia;Enero;18
Argelia;Febrero;6
Argelia;Marzo;17
Argelia;Abril;17
Argelia;Mayo;13
Argelia;Junio;10
Argelia;Julio;9
Argelia;Agosto;10
Argelia;Septiembre;20
Argelia;Octubre;14
Argelia;Noviembre;8
Argelia;Diciembre;17
Argelia;Total;159
Guinea Ecuatorial;Enero;3
Guinea Ecuatorial;Febrero;2
Guinea Ecuatorial;Marzo;2
Guinea Ecuatorial;Abril;4
Guinea Ecuatorial;Mayo;1
Guinea Ecuatorial;Junio;2
Guinea Ecuatorial;Julio;4
Guinea Ecuatorial;Agosto;2
Guinea Ecuatorial;Septiembre;3
Guinea Ecuatorial;Octubre;2
Guinea Ecuatorial;Noviembre;3
Guinea Ecuatorial;Diciembre;4
Guinea Ecuatorial;Total;32
Marruecos;Enero;122
Marruecos;Febrero;77
Marruecos;Marzo;111
Marruecos;Abril;96
Marruecos;Mayo;109
Marruecos;Junio;105
Marruecos;Julio;111
Marruecos;Agosto;113
Marruecos;Septiembre;95
Marruecos;Octubre;102
Marruecos;Noviembre;116
Marruecos;Diciembre;118
Marruecos;Total;1.275
Nigeria;Enero;7
Nigeria;Febrero;5
Nigeria;Marzo;6
Nigeria;Abril;3
Nigeria;Mayo;3
Nigeria;Junio;1
Nigeria;Julio;3
Nigeria;Agosto;5
Nigeria;Septiembre;1
Nigeria;Octubre;2
Nigeria;Noviembre;4
Nigeria;Diciembre;4
Nigeria;Total;44
Senegal;Enero;8
Senegal;Febrero;10
Senegal;Marzo;11
Senegal;Abril;6
Senegal;Mayo;12
Senegal;Junio;12
Senegal;Julio;10
Senegal;Agosto;10
Senegal;Septiembre;7
Senegal;Octubre;7
Senegal;Noviembre;8
Senegal;Diciembre;13
Senegal;Total;114
Resto de ?frica;Enero;21
Resto de ?frica;Febrero;16
Resto de ?frica;Marzo;28
Resto de ?frica;Abril;17
Resto de ?frica;Mayo;11
Resto de ?frica;Junio;26
Resto de ?frica;Julio;26
Resto de ?frica;Agosto;23
Resto de ?frica;Septiembre;23
Resto de ?frica;Octubre;12
Resto de ?frica;Noviembre;18
Resto de ?frica;Diciembre;20
Resto de ?frica;Total;241
PA?SES DE AM?RICA;Enero;298
PA?SES DE AM?RICA;Febrero;242
